ensemble_id,cluster_id
ENSG00000105072,17
ENSG00000055732,15
ENSG00000167302,23
ENSG00000073417,30
ENSG00000154743,38
ENSG00000099956,30
ENSG00000103653,30
ENSG00000101347,5
ENSG00000162631,4
ENSG00000106799,7
ENSG00000130517,3
ENSG00000159842,14
ENSG00000143333,48
ENSG00000176022,17
ENSG00000073536,29
ENSG00000122257,12
ENSG00000164897,17
ENSG00000149658,25
ENSG00000123066,0
ENSG00000164687,34
ENSG00000232593,12
ENSG00000169946,6
ENSG00000167625,22
ENSG00000100865,1
ENSG00000198821,11
ENSG00000237765,0
ENSG00000119632,40
ENSG00000141756,4
ENSG00000177302,22
ENSG00000063854,1
ENSG00000160714,20
ENSG00000100116,1
ENSG00000163877,4
ENSG00000153029,28
ENSG00000091656,1
ENSG00000162959,4
ENSG00000165572,4
ENSG00000073969,3
ENSG00000121270,4
ENSG00000066136,24
ENSG00000139531,49
ENSG00000118777,5
ENSG00000068438,43
ENSG00000242616,4
ENSG00000128928,47
ENSG00000121005,4
ENSG00000112299,44
ENSG00000156345,39
ENSG00000087510,4
ENSG00000010295,8
ENSG00000176490,43
ENSG00000110680,35
ENSG00000249437,27
ENSG00000101335,6
ENSG00000183496,22
ENSG00000184428,0
ENSG00000138115,41
ENSG00000141985,1
ENSG00000176834,2
ENSG00000110848,11
ENSG00000187189,27
ENSG00000137821,15
ENSG00000122873,29
ENSG00000026025,5
ENSG00000126458,10
ENSG00000171757,35
ENSG00000170122,38
ENSG00000104447,17
ENSG00000162676,44
ENSG00000119203,29
ENSG00000129493,10
ENSG00000104331,10
ENSG00000169045,39
ENSG00000100387,1
ENSG00000172375,35
ENSG00000154263,39
ENSG00000005379,41
ENSG00000180488,0
ENSG00000263956,12
ENSG00000137265,11
ENSG00000175893,0
ENSG00000164610,0
ENSG00000157240,2
ENSG00000108387,8
ENSG00000138780,0
ENSG00000157870,15
ENSG00000143772,15
ENSG00000197208,15
ENSG00000043039,4
ENSG00000071242,32
ENSG00000186026,30
ENSG00000198625,39
ENSG00000116691,17
ENSG00000155393,33
ENSG00000080493,15
ENSG00000114857,39
ENSG00000198924,0
ENSG00000058091,18
ENSG00000070961,10
ENSG00000006744,18
ENSG00000172831,16
ENSG00000143727,14
ENSG00000100304,18
ENSG00000106034,31
ENSG00000085185,20
ENSG00000141744,6
ENSG00000167967,23
ENSG00000130226,35
ENSG00000140986,22
ENSG00000141568,25
ENSG00000064961,33
ENSG00000155093,49
ENSG00000175505,16
ENSG00000166200,3
ENSG00000109133,3
ENSG00000162066,38
ENSG00000106263,30
ENSG00000166508,19
ENSG00000214087,17
ENSG00000064703,22
ENSG00000121680,17
ENSG00000177683,10
ENSG00000145241,1
ENSG00000124333,3
ENSG00000121858,4
ENSG00000118454,10
ENSG00000151240,30
ENSG00000143858,39
ENSG00000091583,4
ENSG00000237190,17
ENSG00000117115,13
ENSG00000066027,38
ENSG00000057663,27
ENSG00000005156,35
ENSG00000152785,13
ENSG00000137575,4
ENSG00000154359,43
ENSG00000161940,8
ENSG00000175130,20
ENSG00000071051,25
ENSG00000123545,20
ENSG00000153446,13
ENSG00000225950,13
ENSG00000114646,24
ENSG00000144036,17
ENSG00000099622,23
ENSG00000175538,43
ENSG00000131746,13
ENSG00000111726,9
ENSG00000072062,24
ENSG00000163491,43
ENSG00000088832,32
ENSG00000159708,4
ENSG00000079739,14
ENSG00000233198,38
ENSG00000163682,21
ENSG00000181222,0
ENSG00000151812,6
ENSG00000047849,4
ENSG00000127527,22
ENSG00000183495,0
ENSG00000135392,0
ENSG00000113407,14
ENSG00000151470,43
ENSG00000183474,3
ENSG00000134283,29
ENSG00000164830,17
ENSG00000153233,37
ENSG00000083937,22
ENSG00000120798,39
ENSG00000138085,1
ENSG00000110042,28
